id,nome,email,telefone,cep,data_nascimento,genero
1,Ana Paula Silva,ana.silva@email.com,11987654321,01001-000,1990-05-12,Feminino
2,Carlos Eduardo Souza,carlos.souza@email.com,21999887766,20040-010,1985-11-23,Masculino
3,Mariana Oliveira,mariana.oliveira@email.com,31988776655,30130-010,1992-07-08,Feminino
4,João Pedro Lima,joao.lima@email.com,41977665544,80010-000,1988-03-15,Masculino
5,Fernanda Costa,fernanda.costa@email.com,51966554433,90010-320,1995-09-30,Feminino
6,Lucas Martins,lucas.martins@email.com,11912345678,01310-000,1991-01-10,Masculino
7,Patrícia Gomes,patricia.gomes@email.com,21923456789,20271-130,1987-04-22,Feminino
8,Rafael Almeida,rafael.almeida@email.com,31934567890,30140-110,1993-08-19,Masculino
9,Juliana Mendes,juliana.mendes@email.com,41945678901,80020-320,1996-12-05,Feminino
10,Bruno Rocha,bruno.rocha@email.com,51956789012,90020-120,1989-06-14,Masculino
11,Camila Ferreira,camila.ferreira@email.com,11967890123,04001-001,1994-02-28,Feminino
12,Felipe Barbosa,felipe.barbosa@email.com,21978901234,20510-000,1986-09-17,Masculino
13,Larissa Pinto,larissa.pinto@email.com,31989012345,30150-170,1997-11-11,Feminino
14,Thiago Santos,thiago.santos@email.com,41990123456,80030-110,1992-03-03,Masculino
15,Aline Souza,aline.souza@email.com,51901234567,90030-140,1990-10-20,Feminino
16,Eduardo Lima,eduardo.lima@email.com,11912340987,05001-100,1988-07-07,Masculino
17,Beatriz Ramos,beatriz.ramos@email.com,21923409876,21010-080,1995-05-25,Feminino
18,Gustavo Teixeira,gustavo.teixeira@email.com,31934509876,30160-011,1991-09-09,Masculino
19,Tatiane Lopes,tatiane.lopes@email.com,41945609876,80040-320,1993-12-30,Feminino
20,Pedro Henrique,pedro.henrique@email.com,51956709876,90040-120,1987-08-18,Masculino
21,Vanessa Dias,vanessa.dias@email.com,11967809876,06010-060,1996-01-15,Feminino
22,Rodrigo Nunes,rodrigo.nunes@email.com,21978909876,23010-080,1989-04-04,Masculino
23,Priscila Cardoso,priscila.cardoso@email.com,31989098765,30170-011,1992-02-22,Feminino
24,André Souza,andre.souza@email.com,41990198765,80050-110,1990-06-06,Masculino
25,Gabriela Castro,gabriela.castro@email.com,51901298765,90050-140,1994-12-12,Feminino
26,Marcelo Vieira,marcelo.vieira@email.com,11912349876,07001-100,1986-03-13,Masculino
27,Renata Figueiredo,renata.figueiredo@email.com,21923498765,22010-080,1997-07-07,Feminino
28,Leandro Pires,leandro.pires@email.com,31934598765,30180-011,1991-11-21,Masculino
29,Amanda Duarte,amanda.duarte@email.com,41945698765,80060-320,1993-05-05,Feminino
30,Fábio Moreira,fabio.moreira@email.com,51956798765,90060-120,1988-10-10,Masculino
31,Sabrina Reis,sabrina.reis@email.com,11967898765,08010-060,1995-03-03,Feminino
32,Vitor Matos,vitor.matos@email.com,21978998765,24010-080,1987-12-12,Masculino
33,Patrícia Lima,patricia.lima@email.com,31989087654,30190-011,1996-06-06,Feminino
34,Ricardo Silva,ricardo.silva@email.com,41990187654,80070-110,1992-09-09,Masculino
35,Débora Martins,debora.martins@email.com,51901287654,90070-140,1990-01-01,Feminino
36,Alexandre Costa,alexandre.costa@email.com,11912348765,09001-100,1989-05-05,Masculino
37,Isabela Rocha,isabela.rocha@email.com,21923487654,25010-080,1994-08-08,Feminino
38,Fernando Barros,fernando.barros@email.com,31934587654,30200-011,1991-02-02,Masculino
39,Letícia Nascimento,leticia.nascimento@email.com,41945687654,80080-320,1993-07-07,Feminino
40,Diego Fernandes,diego.fernandes@email.com,51956787654,90080-120,1987-03-03,Masculino
41,Natália Ribeiro,natalia.ribeiro@email.com,11967887654,10010-060,1996-10-10,Feminino
42,Henrique Batista,henrique.batista@email.com,21978987654,26010-080,1989-11-11,Masculino
43,Viviane Lopes,viviane.lopes@email.com,31989076543,30210-011,1992-04-04,Feminino
44,Paulo César,paulo.cesar@email.com,41990176543,80090-110,1990-09-09,Masculino
45,Carolina Mendes,carolina.mendes@email.com,51901276543,90090-140,1994-05-05,Feminino
46,Bruno Azevedo,bruno.azevedo@email.com,11912347654,11001-100,1988-12-12,Masculino
47,Elaine Farias,elaine.farias@email.com,21923476543,27010-080,1997-02-02,Feminino
48,Sérgio Tavares,sergio.tavares@email.com,31934576543,30220-011,1991-06-06,Masculino
49,Michele Souza,michele.souza@email.com,41945676543,80100-320,1993-01-01,Feminino
50,Anderson Melo,anderson.melo@email.com,51956776543,90100-120,1986-08-08,Masculino
